Folge,Titel,Sender,Erstausstrahlung,Ermittler,Fall,Autor,Regie,Besonderheiten
691,Tod einer Heuschrecke,RBB,2008-03-16,Ritter und Stark,24,Hartmann Schmige,Ralph Bohn,
692,Seenot,SWR/SF,2008-03-24,"Blum, Perlmann und Flückiger",14,Dorothee Schön,René Heisig,Premiere im Schweizer Fernsehen außerhalb der Tatort-Reihe als SF Schweizer Film in Schweizer Dialektfassung
693,Erntedank e. V.,NDR,2008-03-30,Lindholm,12,Angelina Maccarone,Angelina Maccarone,
694,Schatten der Angst,SWR,2008-04-06,Odenthal und Kopper,44,"Annette Bassfeld-Schepers, Martin Eigler",Martin Eigler,"Ursprünglich für den 10. Februar 2008 vorgesehen, wegen des Wohnhausbrandes in Ludwigshafen verschoben."
695,Müll,WDR,2008-04-20,Ballauf und Schenk,40,Achim Scholz,Kaspar Heidelbach,
696,Der oide Depp,BR,2008-04-27,Batic und Leitmayr,49,Alexander Adolph,Michael Gutmann,Nominiert für den Adolf-Grimme-Preis 2009
697,Exitus,ORF,2008-05-04,Eisner,18,Thomas Roth,Thomas Roth,
698,Der frühe Abschied,HR,2008-05-12,Dellwo und Sänger,12,Judith Angerbauer,Lars Kraume,Darsteller-Sonderpreis an Lisa Hagmeister und Tom Schilling beim Deutschen Fernsehkrimipreis 2008
699,Krumme Hunde,WDR,2008-05-18,Thiel und Boerne,13,"Stefan Cantz, Jan Hinter",Manfred Stelzer,
700,Todesstrafe,MDR,2008-05-25,Saalfeld und Keppler,1,"Andreas Schlüter, Mario Giordano",Patrick Winczewski,Erster Auftritt als Leipziger Ermittlerteam Saalfeld/Keppler
701,Ausweglos,MDR,2008-07-06,Saalfeld und Keppler,2,Andreas Pflüger,Hajo Gies,
702,In eigener Sache,SWR,2008-08-17,Lannert und Bootz,2,Holger Karsten Schmidt,Elmar Fischer,
703,Blinder Glaube,RBB,2008-08-31,Ritter und Stark,25,Andreas Pflüger,Jürgen Bretzinger,
704,Das schwarze Grab,SR,2008-09-14,Kappl und Deininger,3,"Thomas Kirchner, Martin Conrath (Roman)",Gregor Schnitzler,
705,Liebeswirren,BR,2008-09-28,Batic und Leitmayr,50,Christian Limmer,Tobias Ineichen,
706,Der glückliche Tod,SWR,2008-10-05,Odenthal und Kopper,45,André Georgi,Aelrun Goette,Thema Sterbehilfe; Film- und Fernsehpreis 2009 des Hartmannbunds. Nominiert für den Fernsehfilmpreis der Deutschen Akademie der Darstellenden Künste 2008
707,Borowski und die einsamen Herzen,NDR,2008-10-12,Borowski,11,Thomas Schwank,Lars Jessen,
708,Brandmal,WDR,2008-10-19,Ballauf und Schenk,41,Karl-Heinz Käfer,Maris Pfeiffer,
709,Auf der Sonnenseite,NDR,2008-10-26,Batu,1,"Christoph Silber, Thorsten Wettcke",Richard Huber,Publikumspreis der Marler Gruppe 2009; Deutscher Fernsehpreis 2009 (Beste Kamera) an Martin Langer; nominiert für die Goldene Kamera 2009
710,Wolfsstunde,WDR,2008-11-09,Thiel und Boerne,14,"Kilian Riedhof, Marc Blöbaum",Kilian Riedhof,Publikumspreis beim Deutschen Fernsehkrimipreis 2009
711,Salzleiche,NDR,2008-11-16,Lindholm,13,"Johannes W. Betz, Max Eipp",Christiane Balthasar,
712,Häschen in der Grube,BR,2008-11-23,Batic und Leitmayr,51,Ingeborg Bellmann,Dagmar Knöpfel,
713,Unbestechlich,MDR,2008-12-07,Saalfeld und Keppler,3,Andreas Pflüger,Nils Willbrandt,
714,Waffenschwestern,HR,2008-12-14,Sänger,13,Michael Proehl,Florian Schwarz,Letzter Einsatz für Sascha Göpel
715,Granit,ORF,2008-12-21,Eisner,19,Felix Mitterer,Fabian Eder,
716,Der tote Chinese,HR,2008-12-28,Dellwo und Sänger,14,"Hendrik Handloegten, David Keller",Hendrik Handloegten,Nominiert für den Adolf-Grimme-Preis 2009. Sonderpreis an Kameramann Peter Przybylski beim Deutschen Fernsehkrimipreis 2009
717,Baum der Erlösung,ORF,2009-01-04,Eisner,20,Felix Mitterer,Harald Sicheritz,Thematisiert den Minarettstreit von Telfs
718,Schwarzer Peter,MDR,2009-01-18,Saalfeld und Keppler,4,Katrin Bühlig,Christine Hartmann,
719,Rabenherz,WDR,2009-01-25,Ballauf und Schenk,42,Markus Busch,Torsten C. Fischer,
720,Kassensturz,SWR,2009-02-01,Odenthal und Kopper,46,"Stephan Falk, Lars Montag",Lars Montag,Thema Arbeitsbedingungen bei Discountern; ver.di-Fernsehpreis und Nominierung für den Deutschen Fernsehpreis 2009 an die Drehbuchautoren
721,Familienaufstellung,Radio Bremen,2009-02-08,Lürsen und Stedefreund,18,"Thea Dorn, Seyran Ateş",Mark Schlichter,
722,Neuland,HR,2009-02-15,Dellwo,15,Bernd Lange,Manuel Flurin Hendry,Hessischer Fernsehpreis 2009 an Nina Kunzendorf
723,Herz aus Eis,SWR,2009-02-22,Blum und Perlmann,15,Dorothee Schön,Ed Herzog,New Faces Award an Nora von Waldstätten und Florian Bartholomäi
724,Tödliche Tarnung,SWR,2009-03-01,Lannert und Bootz,3,Holger Karsten Schmidt,Rainer Matsutani,
725,Mauerblümchen,MDR,2009-03-08,Saalfeld und Keppler,5,Simone Schneider,Johannes Fabrick,
726,Das Gespenst,NDR,2009-03-15,Lindholm,14,Stefan Dähnert,Dror Zahavi,
727,Höllenfahrt,WDR,2009-03-22,Thiel und Boerne,15,"Matthias Seelig, Claudia Falk",Tim Trageser,
728,Gesang der toten Dinge,BR,2009-03-29,Batic und Leitmayr,52,Markus Fenner,Thomas Roth,
729,Häuserkampf,NDR,2009-04-13,Batu,2,"Johannes W. Betz, Peter Braun",Florian Baxmeyer,
730,Oben und unten,RBB,2009-04-19,Ritter und Stark,26,Natja Brunckhorst,Nils Willbrandt,
731,Bittere Trauben,SR,2009-04-26,Kappl und Deininger,4,Andreas Pflüger,Hannu Salonen,
732,Borowski und die heile Welt,NDR,2009-05-03,Borowski,12,"Elke Schuch, Marc Blöbaum",Florian Froschmayer,Axel Milberg (Bester Schauspieler Hauptrolle) und Fabian Hinrichs (Bester Schauspieler Nebenrolle) waren für den Deutschen Fernsehpreis 2009 nominiert
733,Tödlicher Einsatz,SWR,2009-05-10,Odenthal und Kopper,47,Kai-Uwe Hasenheit,Bodo Fürneisen,Günter-Strack-Fernsehpreis 2010 an Mirco Kreibich
734,Schiffe versenken,Radio Bremen,2009-05-24,Lürsen und Stedefreund,19,"Wilfried Huismann, Philip LaZebnik",Florian Baxmeyer,
735,Kinderwunsch,ORF,2009-06-01,Eisner,21,Thomas Baum,Walter Bannert,
736,Im Sog des Bösen,SWR,2009-06-07,Blum und Perlmann,16,Susanne Schneider,Didi Danquart,
737,Tote Männer,Radio Bremen/WDR,2009-06-14,Lürsen und Stedefreund,20,Jochen Greve,Thomas Jauch,
738,Das Mädchen Galina,SWR,2009-06-21,Lannert und Bootz,4,Stephan Brüggenthies,Thomas Freundner,
739,Mit ruhiger Hand,WDR,2009-08-23,Ballauf und Schenk,43,Jürgen Werner,Maris Pfeiffer,
740,Architektur eines Todes,HR,2009-09-06,Dellwo und Sänger,16,Judith Angerbauer,Titus Selge,
741,Borowski und die Sterne,NDR,2009-09-20,Borowski,13,Angelina Maccarone,Angelina Maccarone,Sängerin Helen Schneider spielt hier die Ex-Geliebte eines von Hugo Egon Balder dargestellten Rockstars
742,Platt gemacht,WDR,2009-10-04,Ballauf und Schenk,44,"Stefan Cantz, Jan Hinter",Buddy Giovinazzo,Gastauftritt von Die Höhner
743,Vermisst,SWR,2009-10-11,Odenthal und Kopper,48,Christoph Darnstädt,Andreas Senn,
744,Um jeden Preis,BR,2009-10-18,Batic und Leitmayr,53,Christian Jeltsch,Peter Fratzscher,
745,Tempelräuber,WDR,2009-10-25,Thiel und Boerne,16,Magnus Vattrodt,Matthias Tiefenbacher,
746,Schweinegeld,RBB,2009-11-01,Ritter und Stark,27,"Christoph Silber, Thorsten Wettcke",Bodo Fürneisen,
747,… es wird Trauer sein und Schmerz,NDR,2009-11-15,Lindholm,15,Astrid Paprotta,Friedemann Fromm,
748,Falsches Leben,MDR,2009-12-06,Saalfeld und Keppler,6,Andreas Pflüger,Hajo Gies,
749,Wir sind die Guten,BR,2009-12-13,Batic und Leitmayr,54,"Jobst Oetzmann, Magnus Vattrodt",Jobst Oetzmann,
750,Altlasten,SWR,2009-12-27,Lannert und Bootz,5,Katrin Bühlig,Eoin Moore,Nominiert für den Adolf-Grimme-Preis 2010. Filmkunst-Sonderpreis Herausragender Fernsehfilm beim Festival des deutschen Films 2010
751,Weil sie böse sind,HR,2010-01-03,Dellwo und Sänger,17,Michael Proehl,Florian Schwarz,Deutscher Fernsehpreis 2010 als Bester Fernsehfilm. Nominiert für den Adolf-Grimme-Preis 2010. Darsteller-Sonderpreis an Milan Peschel beim Deutschen Fernsehkrimipreis 2010. Hessischer Fernsehpreis 2010 (Beste Schauspieler) an Matthias Schweighöfer und Milan Peschel.
752,Klassentreffen,WDR,2010-01-10,Ballauf und Schenk,45,Jürgen Werner,Kaspar Heidelbach,
753,Der Polizistinnenmörder,SWR/SRF,2010-01-17,"Blum, Perlmann und Flückiger",17,Leo P. Ard,Florian Froschmayer,Premiere im Schweizer Fernsehen außerhalb der Tatort-Reihe. Nominierung für den Bayerischen Fernsehpreis 2010 (beste Schauspielerin Serien und Reihen) an Eva Mattes.
754,Hilflos,SR,2010-01-24,Kappl und Deininger,5,"Stefan Schaller, Sabine Radebold",Hannu Salonen,
755,Vergessene Erinnerung,NDR,2010-01-31,Lindholm,16,"Dirk Salomon, Thomas Wesskamp, Bearbeitung Ulf Tschauder",Christiane Balthasar,
756,Königskinder,Radio Bremen,2010-02-07,Lürsen und Stedefreund,21,Thorsten Näter,Thorsten Näter,
757,Tod auf dem Rhein,SWR,2010-02-28,Odenthal und Kopper,49,Horst Freund,Patrick Winczewski,
758,Absturz,MDR,2010-03-14,Saalfeld und Keppler,7,André Georgi,Torsten C. Fischer,
759,Kaltes Herz,WDR,2010-03-21,Ballauf und Schenk(Gastauftritt Karlsen),46,"Peter Dommaschk, Ralf Leuther",Thomas Jauch,
760,Vergissmeinnicht,NDR,2010-03-28,Batu,3,"Christoph Darnstädt, Tim Krause",Richard Huber,
761,Tango für Borowski,NDR,2010-04-04,Borowski,14,Clemens Murath,Hannu Salonen,Spielt in Finnland und wurde dort gedreht. Letzter Fall mit Frieda Jung.[20]
762,Blutgeld,SWR,2010-04-25,Lannert und Bootz,6,Martin Eigler,Martin Eigler,
763,Der Fluch der Mumie,WDR,2010-05-16,Thiel und Boerne,17,"Jan Hinter, Stefan Cantz",Kaspar Heidelbach,
764,Hitchcock und Frau Wernicke,RBB,2010-05-24,Ritter und Stark,28,Klaus Krämer,Klaus Krämer,
765,Schlafende Hunde,Radio Bremen,2010-05-30,Lürsen und Stedefreund,22,"Wilfried Huismann, Dagmar Gabler",Florian Baxmeyer,
766,Heimwärts,MDR,2010-06-06,Saalfeld und Keppler,8,Heike Rübbert,Johannes Grieser,
767,Operation Hiob,ORF,2010-07-04,Eisner,22,Max Gruber,Nikolaus Leytner,
768,Hauch des Todes,SWR,2010-08-22,Odenthal und Kopper,50,Jürgen Werner,Lars Montag,
769,"Glaube, Liebe, Tod",ORF,2010-08-29,Eisner,23,Lukas Sturm,Michi Riebl,
770,Am Ende des Tages,HR,2010-09-05,Dellwo und Sänger,18,Titus Selge,Titus Selge,Letzter Fall dieses Ermittlerteams.
771,Schmale Schultern,WDR,2010-09-12,Ballauf und Schenk,47,Jürgen Werner,Christoph Schnee,
772,Bluthochzeit,SWR,2010-09-19,Blum und Perlmann,18,Stefan Dähnert,Patrick Winczewski,Wegen einer aktuellen Sendung zur Bundestagswahl 2009 um ein Jahr verschoben.[23]
773,"Die Unmöglichkeit, sich den Tod vorzustellen",RBB,2010-09-26,Ritter und Stark,29,Beate Langmaack,Christine Hartmann,
774,Die Heilige,BR,2010-10-03,Batic und Leitmayr,55,"Jobst Oetzmann, Magnus Vattrodt",Jobst Oetzmann,
775,Spargelzeit,WDR,2010-10-10,Thiel und Boerne,18,Jürgen Werner,Manfred Stelzer,
776,Der Schrei,SWR,2010-10-17,Odenthal und Kopper,51,Harald Göckeritz,Gregor Schnitzler,
777,Borowski und eine Frage von reinem Geschmack,NDR,2010-10-24,Borowski,15,"Christoph Silber, Thorsten Wettcke, Kai Hafemeister",Florian Froschmayer,Tatort im Rahmen der ARD-Themenwoche „Essen ist Leben“[24]
778,Der letzte Patient,NDR,2010-10-31,Lindholm,17,Astrid Paprotta,Friedemann Fromm,
779,Die Unsichtbare,SWR,2010-11-14,Lannert und Bootz,7,"Eva Zahn, Volker A. Zahn",Johannes Grieser,
780,Unsterblich schön,BR,2010-11-21,Batic und Leitmayr,56,Stefanie Kremser,Filippos Tsitos,
